order_details_id,order_id,order_date,order_time,item_id,payment_type
1,1560,11/5/2024,12:47:32,6,Card
2,3791,2/10/2024,17:20:10,5,Cash
3,5295,11/7/2024,19:08:40,3,Cash
4,4504,1/24/2024,12:49:14,5,Card
5,6117,11/11/2024,9:34:31,6,Transfer
6,6294,3/10/2024,12:00:47,4,Card
7,5681,1/4/2024,19:33:04,1,Card
8,3446,4/30/2024,19:17:40,3,Card
9,9353,9/28/2024,17:26:35,2,Card
10,9558,8/7/2024,19:36:55,3,Transfer
11,6113,11/6/2024,18:30:25,2,Transfer
12,7353,7/9/2024,8:33:50,7,Card
13,7378,4/18/2024,17:21:07,2,Card
14,8249,2/19/2024,8:51:48,5,Transfer
15,4640,4/19/2024,10:15:22,5,Card
16,1815,8/5/2024,10:16:02,6,Cash
17,2864,6/11/2024,16:06:48,4,Cash
18,5621,11/26/2024,15:05:29,7,Card
19,8770,8/16/2024,16:15:14,4,Transfer
20,1570,5/26/2024,16:35:05,3,Transfer
21,7959,5/30/2024,12:17:08,1,Cash
22,1913,11/2/2024,19:34:14,4,Cash
23,1059,5/8/2024,12:21:16,9,Card
24,9492,11/20/2024,15:21:59,1,Cash
25,4263,4/22/2024,19:06:41,6,Transfer
26,8408,3/6/2024,12:30:09,8,Transfer
27,1157,3/5/2024,19:30:41,3,Cash
28,7430,9/8/2024,10:54:35,3,Transfer
29,1698,2/20/2024,19:23:47,7,Transfer
30,8013,6/20/2024,16:17:44,5,Card
31,2925,9/17/2024,20:04:13,10,Cash
32,1327,12/9/2024,18:19:39,7,Cash
33,4854,10/13/2024,18:41:16,6,Transfer
34,4163,12/14/2024,13:24:35,2,Card
35,2975,12/6/2024,18:24:55,9,Cash
36,5591,5/14/2024,17:05:28,2,Card
37,2350,12/14/2024,17:09:04,9,Cash
38,2915,2/19/2024,19:40:43,6,Cash
39,2559,8/15/2024,8:33:46,10,Card
40,5297,8/7/2024,17:17:41,2,Transfer
41,6688,12/3/2024,11:48:18,1,Transfer
42,2818,9/9/2024,13:50:56,2,Transfer
43,9825,3/18/2024,14:40:43,2,Cash
44,5643,2/27/2024,16:56:03,3,Cash
45,4573,12/17/2024,18:29:00,4,Transfer
46,4635,11/8/2024,19:55:31,3,Cash
47,9329,8/2/2024,15:45:12,4,Transfer
48,8855,8/18/2024,18:11:51,3,Cash
49,4799,8/25/2024,11:06:48,4,Card
50,2388,5/20/2024,19:10:56,9,Card
51,4321,1/19/2024,9:39:53,8,Card
